Age,Gender,Team,Team_State,State,Country,Fan_Length,Attendance,Own_Jersey,Spent,Podcast,FF,Other_Sports,SB_Predict,Player
26-30,Male,Las Vegas Raiders,Nevada,California,,6-9,Yes,Yes,$200-$299,Yes,Yes,Baseball,Buffalo Bills,Derek Carr
41-50,Male,Pittsburgh Steelers,Pennsylvania,Pennsylvania,,25+,Yes,No,$50-$99,No,No,Baseball,Kansas City Chiefs,
21-25,Female,Baltimore Ravens,Maryland,Other,Australia,3-5,No,Yes,$0-$49,Yes,Yes,"Cricket, Nrl",Baltimore Ravens,Mark Andrews
21-25,Male,Pittsburgh Steelers,Pennsylvania,New Jersey,,10-14,Yes,No,$0-$49,Yes,Yes,Hockey,Kansas City Chiefs,Najee Harris
36-40,Male,Baltimore Ravens,Maryland,Maryland,,25+,Yes,Yes,$0-$49,Yes,Yes,None,Buffalo Bills,Lamar Jackson
16-20,Male,Detroit Lions,Michigan,Indiana,,6-9,Yes,Yes,$100-$199,No,Yes,Basketball,Baltimore Ravens,Amon-Ra St. Brown
41-50,Male,Baltimore Ravens,Maryland,Virginia,,25+,Yes,Yes,$100-$199,Yes,Yes,None,Buffalo Bills,
26-30,Male,Washington Commanders,Maryland,Florida,,25+,Yes,Yes,$0-$49,No,Yes,"Baseball,Basketball,Hockey,Tennis,Soccer",Buffalo Bills,Terry Mclaurin
31-35,Male,Buffalo Bills,New York,New York,,25+,Yes,Yes,$50-$99,Yes,Yes,"Cycling, F1",Buffalo Bills,Gabe Davis
21-25,Male,Detroit Lions,Michigan,California,,6-9,No,Yes,$0-$49,No,Yes,"Baseball,Basketball,Tennis,Soccer",Buffalo Bills,Jack Fox
31-35,Male,New York Giants,New Jersey,Other,Ireland,10-14,No,Yes,$0-$49,Yes,Yes,"Basketball,Rugby, Soccer (Premier League), Pro Cycling",Buffalo Bills,Jj Watt
26-30,Male,Washington Commanders,Maryland,Virginia,,15-19,Yes,Yes,$50-$99,Yes,Yes,None,Tampa Bay Buccaneers,Chase Young
Under 16,Male,Denver Broncos,Colorado,Pennsylvania,,3-5,Yes,Yes,$100-$199,Yes,Yes,"Basketball,Golf",Buffalo Bills,Javonte Williams
36-40,Male,San Francisco 49ers,California,Utah,,25+,Yes,Yes,$0-$49,No,Yes,"Basketball,Golf",Buffalo Bills,George Kittle
36-40,Male,Los Angeles Rams,California,California,,15-19,Yes,Yes,$50-$99,No,Yes,"Baseball,Basketball",Los Angeles Rams,Aaron Donald
36-40,Male,Denver Broncos,Colorado,Colorado,,20-24,Yes,Yes,$200-$299,No,No,"Basketball,Hockey",Buffalo Bills,Von Miller
31-35,Male,Baltimore Ravens,Maryland,Other,Canada,0-2,No,Yes,$100-$199,No,Yes,Hockey,Buffalo Bills,Lamar Jackson
41-50,Female,Las Vegas Raiders,Nevada,New Mexico,,25+,Yes,Yes,$0-$49,Yes,No,None,Buffalo Bills,Hunter Renfrow
31-35,Male,Pittsburgh Steelers,Pennsylvania,Georgia,,25+,Yes,Yes,$200-$299,Yes,Yes,"Hockey,Soccer",Pittsburgh Steelers,Najee Harris
51+,Male,Washington Commanders,Maryland,Florida,,25+,Yes,Yes,$0-$49,No,No,"Baseball,Golf",Buffalo Bills,Terry Mclaurin
16-20,Male,Pittsburgh Steelers,Pennsylvania,Florida,,6-9,No,No,$0-$49,No,No,Lax,Pittsburgh Steelers,Minkah Fitzpatrick
26-30,Male,Pittsburgh Steelers,Pennsylvania,Ohio,,20-24,Yes,Yes,$50-$99,Yes,Yes,"Hockey,Golf",Pittsburgh Steelers,Tj Watt
31-35,Male,Pittsburgh Steelers,Pennsylvania,Pennsylvania,,15-19,Yes,Yes,$50-$99,No,No,"Baseball,Rugby",Pittsburgh Steelers,Tj Watt
21-25,Male,Baltimore Ravens,Maryland,Virginia,,20-24,Yes,Yes,$0-$49,Yes,Yes,"Baseball,Basketball,Golf",Buffalo Bills,Lamar Jackson
31-35,Male,Detroit Lions,Michigan,Pennsylvania,,20-24,Yes,Yes,$50-$99,Yes,Yes,Baseball,Buffalo Bills,Jamaal Williams
41-50,Male,Pittsburgh Steelers,Pennsylvania,Iowa,,25+,Yes,Yes,$300-$499,Yes,Yes,"Golf,Soccer",Buffalo Bills,Tj Watt
16-20,Male,Baltimore Ravens,Maryland,Maryland,,0-2,No,No,$0-$49,No,No,"Baseball,Basketball",Tampa Bay Buccaneers,Justin Tucker
36-40,Male,Pittsburgh Steelers,Pennsylvania,Indiana,,25+,Yes,Yes,$50-$99,No,No,"Basketball,Soccer",Kansas City Chiefs,
26-30,Male,Detroit Lions,Michigan,Michigan,,20-24,Yes,Yes,$300-$499,Yes,Yes,Basketball,Detroit Lions,Jamaal Williams
21-25,Male,Pittsburgh Steelers,Pennsylvania,Maryland,,15-19,No,Yes,$100-$199,No,Yes,"Baseball,Basketball",Buffalo Bills,Tj Watt
21-25,Male,Baltimore Ravens,Maryland,Indiana,,10-14,Yes,Yes,$0-$49,No,Yes,"Basketball,Hockey",Baltimore Ravens,Justin Tucker
21-25,Male,Detroit Lions,Michigan,Michigan,,6-9,Yes,Yes,$100-$199,Yes,No,"Baseball,Hockey",Buffalo Bills,Justin Herbert
26-30,Female,Detroit Lions,Michigan,Minnesota,,25+,Yes,Yes,$100-$199,No,Yes,"Baseball,Hockey",Buffalo Bills,
21-25,Male,Detroit Lions,Michigan,Michigan,,6-9,No,Yes,$50-$99,Yes,Yes,"Baseball,Golf",Buffalo Bills,Amon-Ra St. Brown
16-20,Male,Detroit Lions,Michigan,Michigan,,6-9,Yes,Yes,$0-$49,No,Yes,"Basketball,Hockey",Buffalo Bills,Lamar Jackson
31-35,Male,Detroit Lions,Michigan,Michigan,,25+,Yes,Yes,$200-$299,Yes,No,None,Detroit Lions,Jamaal Williams
31-35,Male,Pittsburgh Steelers,Pennsylvania,Pennsylvania,,15-19,Yes,Yes,$0-$49,Yes,Yes,"Baseball,Hockey,Golf",Buffalo Bills,Cam Heyward
31-35,Male,Washington Commanders,Maryland,Other,Russia,3-5,No,No,$0-$49,Yes,No,None,Buffalo Bills,Aaron Rodgers
26-30,Male,Baltimore Ravens,Maryland,Maryland,,10-14,Yes,Yes,$0-$49,Yes,Yes,None,Baltimore Ravens,Lamar Jackson
21-25,Male,Washington Commanders,Maryland,North Carolina,,15-19,Yes,Yes,$50-$99,Yes,Yes,"Baseball,Basketball,Hockey",Buffalo Bills,Jonathan Allen
51+,Male,Denver Broncos,Colorado,Colorado,,25+,Yes,No,$0-$49,No,Yes,Hockey,Buffalo Bills,
16-20,Male,Denver Broncos,Colorado,Arkansas,,3-5,No,Yes,$50-$99,No,No,None,Denver Broncos,Russell Wilson
Under 16,Male,Detroit Lions,Michigan,Michigan,,3-5,Yes,Yes,$100-$199,Yes,Yes,Basketball,Buffalo Bills,Josh Allen
21-25,Male,Pittsburgh Steelers,Pennsylvania,Other,UK,0-2,No,No,$0-$49,No,No,Soccer,Buffalo Bills,
21-25,Female,Baltimore Ravens,Maryland,New Jersey,,3-5,No,Yes,$200-$299,Yes,No,Baseball,Buffalo Bills,
26-30,Male,Denver Broncos,Colorado,Other,Mexico,20-24,Yes,Yes,$50-$99,Yes,Yes,"Basketball,Soccer",Buffalo Bills,Russell Wilson
31-35,Male,Los Angeles Rams,California,California,,3-5,Yes,Yes,$1000+,Yes,Yes,"Baseball,Soccer",Los Angeles Rams,Cooper Kupp
31-35,Male,San Francisco 49ers,California,California,,25+,Yes,Yes,$100-$199,No,No,None,San Francisco 49ers,Nick Bosa
